epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.0,0,1,256,253.9636,1.1,0.00283,
1.0,1,312,79872,163.0953,256.3,0.00283,142.9238
2.0,1,624,159616,141.7085,456.8,0.00283,134.6355
3.0,1,936,239360,136.2869,745.9,0.00283,131.142
4.0,1,1248,319104,133.6052,1025.2,0.00283,129.0389
5.0,1,1560,398848,131.9661,1306.9,0.00283,127.9245
6.0,1,1872,478592,130.9081,1568.8,0.00283,126.8817
7.0,1,2184,558336,129.9716,1788.7,0.00283,126.3228
8.0,1,2496,638080,129.323,2075.1,0.00283,125.7538
9.0,1,2808,717824,128.7624,2390.5,0.00283,125.2229
10.0,1,3120,797568,128.3652,2599.4,0.00283,125.054
11.0,1,3432,877312,127.8823,2808.2,0.00283,124.5311
12.0,1,3744,957056,127.6228,3034.5,0.00283,124.134
13.0,1,4056,1036800,127.2173,3240.4,0.00283,124.0577
14.0,1,4368,1116544,127.0362,3444.9,0.00283,123.7027
15.0,1,4680,1196288,126.6715,3656.2,0.00283,123.5597
16.0,1,4992,1276032,126.5499,3905.6,0.00283,123.4669
17.0,1,5304,1355776,126.2022,4121.4,0.00283,123.2778
18.0,1,5616,1435520,126.1836,4325.6,0.00283,123.1421
19.0,1,5928,1515264,125.9246,4526.3,0.00283,122.9153
20.0,1,6240,1595008,125.7478,4727.4,0.00283,122.8446
21.0,1,6552,1674752,125.6376,4973.4,0.00283,122.564
22.0,1,6864,1754496,125.4307,5274.5,0.00283,122.4568
23.0,1,7176,1834240,125.3948,5549.5,0.00283,122.4113
24.0,1,7488,1913984,125.1966,5766.5,0.00283,122.4111
25.0,1,7800,1993728,124.9861,5975.1,0.00283,122.2117
26.0,0,8112,2073472,124.9268,6184.8,0.00283,122.2746
27.0,0,8424,2153216,124.8645,6386.9,0.00283,122.2566
28.0,1,8736,2232960,124.772,6599.8,0.00283,121.839
29.0,0,9048,2312704,124.5478,6805.6,0.00283,121.9795
30.0,1,9360,2392448,124.4573,7008.8,0.00283,121.5761
31.0,0,9672,2472192,124.4232,7212.1,0.00283,121.6085
32.0,0,9984,2551936,124.4024,7415.4,0.00283,121.7247
33.0,0,10296,2631680,124.2083,7621.4,0.00283,121.5963
34.0,1,10608,2711424,123.5624,7824.9,0.001415,120.9052
35.0,1,10920,2791168,123.2091,8025.1,0.001415,120.8532
36.0,1,11232,2870912,123.0685,8223.4,0.001415,120.8517
36.93,0,11522,2945024,122.86,19194.1,0.001415,
36.94,0,11526,2946048,122.971,120314.3,0.001415,
37.0,1,11544,2950656,122.8428,120375.3,0.001415,120.7442
38.0,1,11856,3030400,122.8647,120619.3,0.001415,120.6056
39.0,1,12168,3110144,122.7708,120847.1,0.001415,120.5553
40.0,1,12480,3189888,122.6423,121069.7,0.001415,120.4434
41.0,1,12792,3269632,122.7053,121335.1,0.001415,120.4406
42.0,1,13104,3349376,122.6014,121522.5,0.001415,120.3493
43.0,0,13416,3429120,122.5317,121711.8,0.001415,120.4745
44.0,0,13728,3508864,122.5826,121905.3,0.001415,120.4822
45.0,0,14040,3588608,122.3346,122091.5,0.001415,120.381
46.0,1,14352,3668352,122.0452,122278.5,0.000708,120.0895
46.09,0,14379,3675264,122.3168,127356.9,0.000708,
47.0,1,14664,3748096,122.0612,127591.8,0.000708,120.0243
48.0,1,14976,3827840,121.8823,127849.0,0.000708,119.7358
49.0,1,15288,3907584,121.7994,128076.1,0.000708,119.7217
50.0,0,15600,3987328,121.8027,128311.8,0.000708,119.853
50.57,0,15778,4032768,121.3659,139234.2,0.000708,
50.59,0,15784,4034304,121.4651,192461.0,0.000708,
51.0,1,15912,4067072,121.623,192609.5,0.000708,119.6944
52.0,0,16224,4146816,121.7049,192861.2,0.000708,119.859
52.16,0,16274,4159616,121.822,203701.0,0.000708,
52.16,0,16275,4159872,121.8078,231270.6,0.000708,
53.0,0,16536,4226560,121.7407,231528.6,0.000708,119.718
54.0,0,16848,4306304,121.5558,231793.8,0.000708,119.7518
55.0,0,17160,4386048,121.4058,231982.1,0.000354,119.7104
56.0,1,17472,4465792,121.4026,232171.9,0.000354,119.6068
57.0,0,17784,4545536,121.3856,232365.2,0.000354,119.6764
58.0,1,18096,4625280,121.2671,232586.9,0.000354,119.5577
59.0,1,18408,4705024,121.3262,232786.1,0.000354,119.4976
60.0,1,18720,4784768,121.2143,232971.3,0.000354,119.4516
61.0,0,19032,4864512,121.2886,233169.0,0.000354,119.4756
62.0,1,19344,4944256,121.224,233372.2,0.000354,119.3661
63.0,0,19656,5024000,121.0995,233625.0,0.000354,119.5069
64.0,0,19968,5103744,121.2476,244652.8,0.000354,119.3902
64.01,0,19972,5104768,121.7535,283644.1,0.000354,
65.0,0,20280,5183488,121.1507,283929.3,0.000354,119.6125
66.0,0,20592,5263232,121.099,284174.6,0.000283,119.3876
67.0,0,20904,5342976,121.0524,284401.7,0.000283,119.3849
